=America/Maceio
8000000000000000 -8572 0 LMT
fffffe6489a82460 -10800 0 BRT
fffffee6fbb89300 -7200 1 BRST
fffffeea9d447100 -10800 0 BRT
fffffeee5633db80 -7200 1 BRST
fffffef1f4f59d00 -10800 0 BRT
ffffff6c6d686b80 -7200 1 BRST
ffffff6f29c94b80 -10800 0 BRT
ffffff73c5199780 -7200 1 BRST
ffffff7634042500 -10800 0 BRT
ffffff7b1ccac380 -7200 1 BRST
ffffff7d90dbad00 -10800 0 BRT
ffffff8279a24b80 -7200 1 BRST
ffffff8448e7b500 -10800 0 BRT
ffffffd371bec780 -7200 1 BRST
ffffffd51cf7ad00 -10800 0 BRT
ffffffdbdf875b80 -7200 1 BRST
ffffffdd0f27a100 -10800 0 BRT
ffffffe1fd149b80 -7200 1 BRST
ffffffe3cc5a0500 -10800 0 BRT
ffffffe8ba46ff80 -7200 1 BRST
ffffffeb240b3100 -10800 0 BRT
fffffff011f82b80 -7200 1 BRST
fffffff280e2b900 -10800 0 BRT
000000745b536b80 -7200 1 BRST
00000077080a4900 -10800 0 BRT
0000007b89d1b780 -7200 1 BRST
0000007dca630900 -10800 0 BRT
00000082e182e380 -7200 1 BRST
00000084fe07b100 -10800 0 BRT
0000008a10012f80 -7200 1 BRST
0000008c2c85fd00 -10800 0 BRT
00000091628bff80 -7200 1 BRST
00000093c729d500 -10800 0 BRT
0000009829d42d00 -10800 0 BRT
000000bd6b8cab80 -10800 0 BRT
000000bd75d96380 -7200 1 BRST
000000bfda773900 -10800 0 BRT
000000c3ff554100 -10800 0 BRT
000000da8c850b80 -10800 0 BRT
000000da9bf81f80 -7200 1 BRST
000000dd90c80500 -10800 0 BRT
000000e2128f7380 -7200 1 BRST
000000e25a718d00 -10800 0 BRT
000000e8e981a380 -10800 0 BRT
000000e98926c780 -7200 1 BRST
000000ec11d12100 -10800 0 BRT
000000f09dae5900 -10800 0 BRT
